萬	万
與	与
醜	丑
專	专
業	业
叢	丛
東	东
絲	丝
兩	两
嚴	严
喪	丧
個	个
豐	丰
臨	临
蘭	兰
麼	么
麗	丽
舉	举
義	义
烏	乌
樂	乐
喬	乔
習	习
鄉	乡
書	书
買	买
亂	乱
爭	争
虧	亏
雲	云
亞	亚
產	产
畝	亩
親	亲
億	亿
僅	仅
僕	仆
從	从
侖	仑
倉	仓
儀	仪
們	们
價	价
眾	众
優	优
夥	伙
會	会
傘	伞
偉	伟
傳	传
傷	伤
傾	倾
僑	侨
儘	尽
償	偿
儲	储
儉	俭
兒	儿
億	亿
儀	仪
們	们
價	价
優	优
黨	党
內	内
兩	两
冊	册
寫	写
軍	军
冢	冢
冤	冤
馮	冯
沖	冲
決	决
況	况
淒	凄
淨	净
涼	凉
淩	凌
減	减
湊	凑
準	准
劃	划
創	创
劉	刘
劇	剧
劑	剂
劍	剑
力	力
務	务
動	动
勞	劳
勢	势
勛	勋
勵	励
勸	劝
勻	匀
匯	汇
匱	匮
匹	匹
區	区
千	千
協	协
單	单
賣	卖
盧	卢
衛	卫
卻	却
廠	厂
歷	历
厲	厉
壓	压
厭	厌
參	参
雙	双
發	发
疊	叠
叢	丛
口	口
嚇	吓
呂	吕
嗎	吗
員	员
哢	咔
響	响
嘆	叹
嘍	喽
嘔	呕
嘩	哗
嘮	唠
嘯	啸
囀	啭
囑	嘱
四	四
園	园
圍	围
圖	图
圓	圆
團	团
壞	坏
壟	垄
壢	坜
壯	壮
聲	声
處	处
備	备
復	复
獎	奖
婦	妇
媽	妈
嫵	妩
嬌	娇
孫	孙
學	学
寧	宁
實	实
審	审
寫	写
寬	宽
寵	宠
將	将
對	对
導	导
尋	寻
壽	寿
爾	尔
塵	尘
層	层
屬	属
崗	岗
嶼	屿
嶺	岭
巒	峦
師	师
帳	帐
帶	带
幫	帮
幹	干
幾	几
庫	库
廣	广
廳	厅
廢	废
彈	弹
彎	弯
錄	录
徹	彻
誌	志
認	认
誤	误
說	说
誰	谁
調	调
談	谈
謀	谋
謀	谋
諾	诺
謀	谋
諺	谚
講	讲
謝	谢
證	证
識	识
警	警
議	议
護	护
譽	誉
讀	读
變	变
讓	让
貝	贝
負	负
貢	贡
財	财
責	责
貨	货
費	费
資	资
賈	贾
賓	宾
賞	赏
賢	贤
賣	卖
質	质
賽	赛
贈	赠
賬	账
賭	赌
賴	赖
贊	赞
贏	赢
贗	赝
赤	赤
趙	赵
趕	赶
趣	趣
趨	趋
躍	跃
車	车
軌	轨
轉	转
軼	轶
輕	轻
載	载
輔	辅
輩	辈
輝	辉
輻	辐
輸	输
轄	辖
轆	辘
轟	轰
辦	办
辭	辞
農	农
這	这
連	连
進	进
運	运
過	过
達	达
違	违
遙	遥
遼	辽
選	选
遲	迟
還	还
邊	边
鄰	邻
鄭	郑
鄧	邓
郵	邮
鄉	乡
鄒	邹
醫	医
釋	释
重	重
鈔	钞
鋼	钢
錢	钱
錦	锦
錯	错
鍵	键
錄	录
錘	锤
鐘	钟
鐵	铁
鑑	鉴
鑄	铸
鑒	鉴
門	门
閉	闭
開	开
閏	闰
閒	闲
間	间
閘	闸
關	关
闕	阙
闔	阖
闖	闯
闡	阐
閲	阅
隊	队
